Version, File, size, LOC_touched, LOC_added, MAX_LOC_Added, AVG_LOC_Added
1, bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java, 0, 1072, 536, 268, 536
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java, 0, 100, 50, 25, 50
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClient.java, 360, 380, 370, 123, 2
1, bookkeeper/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java, 0, 352, 176, 88, 176
1, hedwig-client/src/main/cpp/lib/util.h, 92, 96, 94, 31, 6
1, bookkeeper/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java, 0, 174, 87, 44, 87
1, hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java, 206, 240, 223, 112, 17
1, bookkeeper-server/pom.xml, 135, 233, 184, 15, 12
1, doc/bookkeeperConfigParams.textile, 46, 46, 46, 46, 46
1, hedwig-client/src/main/cpp/test/pubsubdatatest.cpp, 51, 51, 51, 26, 47
1, doc/user.txt, 0, 504, 252, 126, 252
1, hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java, 289, 291, 290, 145, 1
1, hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java, 104, 164, 134, 67, 30
1, doc/build.txt, 0, 292, 146, 73, 146
1, hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java, 42, 42, 42, 42, 42
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java, 64, 96, 80, 40, 16
1, hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java, 52, 56, 54, 27, 2
1, hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java, 58, 60, 59, 30, 1
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java, 58, 68, 63, 21, 2
1, hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java, 41, 41, 41, 41, 41
1, hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java, 47, 47, 47, 47, 47
1, hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java, 58, 62, 60, 30, 2
1, hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java, 693, 769, 731, 244, 16
1, scripts/README.txt, 0, 78, 39, 20, 39
